[13.09.2026 19:12:24] ID:6828671128 | @fxtisa | . | программа не найдена: 1804
[13.09.2026 19:12:33] ID:6828671128 | @fxtisa | . | программа не найдена: Яндекс Музыка.exe
[13.09.2026 19:13:40] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 19:18:45] ID:6828671128 | @fxtisa | . | нажал /start
[13.09.2026 19:18:49] ID:6828671128 | @fxtisa | . | нажал кнопку: files
[13.09.2026 19:18:54] ID:6828671128 | @fxtisa | . | нажал кнопку: fm:zip:1163:1
[13.09.2026 19:29:59] ID:6828671128 | @fxtisa | . | нажал /start
[13.09.2026 19:30:20] ID:6828671128 | @fxtisa | . | нажал кнопку: kill
[13.09.2026 19:30:27] ID:6828671128 | @fxtisa | . | убил процесс: 1804 (1 шт.)
[13.09.2026 20:06:16] ID:6828671128 | @fxtisa | . | нажал /start
[13.09.2026 20:06:19] ID:6828671128 | @fxtisa | . | нажал кнопку: error_popup
[13.09.2026 20:06:24] ID:6828671128 | @fxtisa | . | показал ошибку: гейский гей
[13.09.2026 20:06:47] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 20:06:50] ID:6828671128 | @fxtisa | . | нажал кнопку: error_popup
[13.09.2026 20:06:51] ID:6828671128 | @fxtisa | . | показал ошибку: гейский гей
[13.09.2026 20:12:36] ID:6828671128 | @fxtisa | . | нажал /start
[13.09.2026 20:12:38] ID:6828671128 | @fxtisa | . | нажал кнопку: error_popup
[13.09.2026 20:12:40] ID:6828671128 | @fxtisa | . | нажал кнопку: errtype_msgbox
[13.09.2026 20:12:43] ID:6828671128 | @fxtisa | . | показал ошибку (msgbox): хуй
[13.09.2026 20:13:03] ID:6828671128 | @fxtisa | . | нажал кнопку: back
[13.09.2026 20:20:01] ID:6828671128 | @fxtisa | . | нажал кнопку: error_popup
[13.09.2026 20:20:04] ID:6828671128 | @fxtisa | . | нажал кнопку: back
